FBgn_ID,Gene_name,FBgn_alias,CG_ID,CG_alias,tau,Age_classification
FBgn0025836,RhoGAP1A,FBgn0026442,CG40494,"CG00000,CG17960,CG17617,CG40453",0.42,Bilateria
FBgn0025837,CG17636,,CG17636,,0.815,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0025838,CG2652,,CG2652,,0.942,Pan-drosophilid
FBgn0025839,ND-B14.5A,"FBgn0014087,FBgn0047059",CG3621,,0.371,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0025864,Crag,,CG12737,,0.418,Eukaryota
FBgn0025865,Cortactin,,CG3637,,0.322,Bilateria
FBgn0025866,CalpB,,CG8107,,0.237,Diptera
FBgn0025874,Meics,,CG8474,,0.399,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0025878,wrapper,,CG10382,,0.755,Diptera
FBgn0025879,Timp,,CG6281,,0.52,Bilateria
FBgn0025885,Inos,FBgn0033176,CG11143,,0.347,Cellular_Organisms
FBgn0025936,Eph,"FBgn0015726,FBgn0023093",CG1511,,0.207,Eukaryota
FBgn0026015,Top3beta,,CG3458,,0.336,Cellular_Organisms
FBgn0026056,Rlip,,CG11622,,0.29,Bilateria
FBgn0026058,OdsH,,CG6352,,0.909,Bilateria
FBgn0026059,Mhcl,"FBgn0038399,FBgn0051045",CG31045,"CG10224,CG10218",0.456,Bilateria
FBgn0026060,Mipp2,"FBgn0026701,FBgn0029065",CG4317,,0.388,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0026061,Mipp1,,CG4123,,0.624,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0026063,KP78b,FBgn0022392,CG17216,,0.744,mel-subgroup
FBgn0026064,KP78a,FBgn0022392,CG6715,,0.877,Pan-drosophilid
FBgn0026076,UBL3,,CG9038,,0.22,Bilateria
FBgn0026077,Gasp,FBgn0026290,CG10287,,0.659,Bilateria
FBgn0026079,Nsun2,FBgn0029695,CG6133,,0.47,Eukaryota
FBgn0026080,Tip60,,CG6121,,0.378,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0026083,tyf,FBgn0026082,CG4857,CG485,0.3,Pan-drosophilid
FBgn0026084,cib,,CG4944,,0.313,Bilateria
FBgn0026085,dgt4,FBgn0062844,CG4865,,0.567,Pan-drosophilid
FBgn0026086,Adar,"FBgn0022736,FBgn0041575",CG12598,,0.424,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0026088,CG14818,"FBgn0047006,FBgn0047172",CG14818,,0.358,Diptera
FBgn0026089,CG14817,,CG14817,,0.263,Bilateria
FBgn0026090,CG14812,FBgn0062994,CG14812,,0.376,Eukaryota
FBgn0026136,CkIIbeta2,,CG8914,,0.864,Eukaryota
FBgn0026141,Cdlc2,FBgn0044766,CG5450,,0.887,Diptera
FBgn0026143,CDC45L,FBgn0014904,CG3658,,0.529,Eukaryota
FBgn0026144,CBP,,CG1435,,0.498,Diptera
FBgn0026147,CG16833,FBgn0032327,CG16833,,0.562,Diptera
FBgn0026148,CG12253,FBgn0032326,CG12253,,0.41,Bilateria
FBgn0026149,BCL7-like,,CG17252,,0.293,Bilateria
FBgn0026150,ApepP,,CG6291,,0.301,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0026160,tna,"FBgn0011498,FBgn0024566,FBgn0028123,FBgn0036103,FBgn0061852",CG7958,,0.476,Diptera
FBgn0026174,SkpD,"FBgn0031072,FBgn0047345",CG12700,,0.895,Pan-drosophilid
FBgn0026175,SkpC,FBgn0031073,CG11941,,0.754,Bilateria
FBgn0026176,SkpB,FBgn0033684,CG8881,,0.599,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0026179,siz,"FBgn0037047,FBgn0037048,FBgn0037049,FBgn0052434",CG32434,"CG10577,CG12981,CG12980",0.348,Bilateria
FBgn0026181,Rok,FBgn0028698,CG9774,,0.254,Bilateria
FBgn0026189,prominin-like,,CG7740,,0.342,Bilateria
FBgn0026190,PH4alphaMP,FBgn0015713,CG9726,,0.853,Bilateria
FBgn0026192,par-6,,CG5884,,0.222,Bilateria
FBgn0026196,nop5,FBgn0022271,CG10206,,0.304,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0026197,noe,"FBgn0027686,FBgn0027690,FBgn0027717,FBgn0027750,FBgn0027772,FBgn0052172,FBgn0066008",CG32172,,0.565,Pan-drosophilid
FBgn0026199,myo,FBgn0064928,CG1838,,0.333,Bilateria
FBgn0026206,mei-P26,FBgn0027551,CG12218,,0.453,Bilateria
FBgn0026207,mbo,"FBgn0010853,FBgn0023005,FBgn0038075,FBgn0062136",CG6819,,0.417,Bilateria
FBgn0026238,gus,"FBgn0033008,FBgn0033009",CG2944,CG2946,0.275,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0026239,gukh,"FBgn0038668,FBgn0038669,FBgn0038670,FBgn0038671,FBgn0051043,FBgn0062172",CG31043,"CG6003,CG5456,CG14288,CG14287",0.585,Diptera
FBgn0026250,eIF-1A,"FBgn0025531,FBgn0025959,FBgn0038594,FBgn0062638",CG8053,,0.209,Cellular_Organisms
FBgn0026252,msk,"FBgn0024487,FBgn0035837",CG7935,,0.297,Eukaryota
FBgn0026255,clumsy,FBgn0032933,CG8681,,0.773,Diptera
FBgn0026257,cav,FBgn0020360,CG6219,,0.387,Pan-drosophilid
FBgn0026259,eIF5B,"FBgn0035446,FBgn0035447,FBgn0062068",CG10840,CG14970,0.363,Cellular_Organisms
FBgn0026261,bonsai,FBgn0034749,CG4207,,0.307,Cellular_Organisms
FBgn0026262,bip2,,CG2009,,0.179,Bilateria
FBgn0026263,bip1,FBgn0062148,CG7574,,0.566,Pan-drosophilid
FBgn0026268,antdh,,CG1386,,0.838,Cellular_Organisms
FBgn0026309,aft,FBgn0028739,CG5032,,0.424,Eukaryota
FBgn0026313,X11L,"FBgn0030848,FBgn0030849",CG5675,CG5678,0.178,Bilateria
FBgn0026314,Ugt35b,"FBgn0015836,FBgn0040258",CG6649,,0.835,Bilateria
FBgn0026315,Ugt35a,"FBgn0015835,FBgn0040254",CG6644,,0.627,Bilateria
FBgn0026316,Ubc10,FBgn0028742,CG5788,,0.269,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0026317,Tsc1,,CG6147,,0.457,Bilateria
FBgn0026319,Traf4,,CG3048,,0.553,Eukaryota
FBgn0026320,Tom,"FBgn0025249,FBgn0026264",CG5185,,0.81,Pan-drosophilid
FBgn0026323,Tak1,"FBgn0031120,FBgn0042230",CG18492,CG1388,0.228,Bilateria
FBgn0026324,Taf10b,,CG3069,,0.415,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0026326,Mad1,,CG2072,,0.362,Eukaryota
FBgn0026361,5-Sep,FBgn0033242,CG2916,,0.676,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0026369,Sara,FBgn0034630,CG15667,,0.256,Bilateria
FBgn0026370,SRPK,"FBgn0034015,FBgn0064783",CG8174,,0.313,Eukaryota
FBgn0026371,SAK,,CG7186,,0.423,Eukaryota
FBgn0026372,RpL23A,"FBgn0014878,FBgn0025226,FBgn0025992",CG7977,,0.334,Eukaryota
FBgn0026373,RpII33,FBgn0001964,CG7885,,0.378,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0026374,Rhp,,CG8497,,0.48,Bilateria
FBgn0026375,RhoGAPp190,"FBgn0030856,FBgn0030857,FBgn0046792,FBgn0052555,FBgn0062491",CG32555,"CG8267,CG8240",0.317,Bilateria
FBgn0026376,Rgl,FBgn0036385,CG8865,,0.457,Bilateria
FBgn0026378,Rep,,CG8432,,0.241,Diptera
FBgn0026379,Pten,FBgn0032201,CG5671,,0.309,Eukaryota
FBgn0026380,Prosbeta3,,CG11981,,0.282,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0026384,Or59a,,CG9820,,0.944,Pan-drosophilid
FBgn0026385,Or47b,,CG13206,,0.97,Pan-drosophilid
FBgn0026386,Or47a,,CG13225,,0.952,Diptera
FBgn0026388,Or46a,"FBgn0026387,FBgn0053478",CG33478,"CG17849,CG17848",0.854,Pan-drosophilid
FBgn0026389,Or43a,,CG1854,,0.974,Pan-drosophilid
FBgn0026390,Or33c,,CG5006,,0.961,Pan-drosophilid
FBgn0026391,Or33b,,CG16961,,0.97,Pan-drosophilid
FBgn0026392,Or33a,,CG16960,,0.977,mel-group
FBgn0026393,Or43b,,CG17853,,0.214,Pan-drosophilid
FBgn0026394,Or24a,FBgn0031586,CG11767,,0.976,Diptera
FBgn0026395,Or23a,,CG9880,,0.955,Pan-drosophilid
FBgn0026396,Or22c,,CG15377,,0.961,Diptera
FBgn0026397,Or22b,,CG4231,,0.878,Pan-drosophilid
FBgn0026398,Or22a,,CG12193,,0.838,Pan-drosophilid
FBgn0026399,Or85e,,CG9700,,0.972,Diptera
FBgn0026400,Noa36,,CG10009,,0.436,Bilateria
FBgn0026401,Nipped-B,"FBgn0010505,FBgn0020393,FBgn0058281",CG17704,CG40281,0.179,Eukaryota
FBgn0026402,NiPp1,FBgn0034178,CG8980,,0.442,Eukaryota
FBgn0026403,Ndg,"FBgn0033509,FBgn0046316",CG12908,,0.709,Bilateria
FBgn0026404,Dronc,"FBgn0025326,FBgn0062102",CG8091,CG8090,0.462,Diptera
FBgn0026409,Mpcp,FBgn0010721,CG4994,,0.244,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0026411,Lim1,"FBgn0028495,FBgn0030064",CG11354,CG10760,0.731,Diptera
FBgn0026415,Idgf4,FBgn0026066,CG1780,,0.487,Diptera
FBgn0026417,Hus1-like,,CG2525,,0.392,Eukaryota
FBgn0026418,Hsc70Cb,"FBgn0010707,FBgn0010924,FBgn0013562,FBgn0026569,FBgn0027982,FBgn0028258,FBgn0028259,FBgn0062110",CG6603,,0.226,Eukaryota
FBgn0026427,Su(var)2-HP2,FBgn0033946,CG12864,,0.267,Pan-drosophilid
FBgn0026428,HDAC6,,CG6170,,0.558,Cellular_Organisms
FBgn0026430,Grip84,,CG3917,,0.479,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0026431,Grip75,FBgn0032257,CG6176,,0.267,Eukaryota
FBgn0026432,Grip163,FBgn0036238,CG5688,,0.343,Bilateria
FBgn0026433,Grip128,FBgn0030644,CG9201,,0.502,Eukaryota
FBgn0026438,Eaat2,,CG3159,,0.766,Diptera
FBgn0026439,Eaat1,FBgn0025880,CG3747,,0.628,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0026441,ear,FBgn0038317,CG4913,,0.392,Pan-drosophilid
FBgn0026479,Drp1,"FBgn0005566,FBgn0005579,FBgn0031438,FBgn0042649",CG3210,,0.428,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0026533,Dek,"FBgn0010567,FBgn0021980,FBgn0025829,FBgn0046410,FBgn0046411,FBgn0046412",CG5935,CG593,0.309,Eukaryota
FBgn0026562,SPARC,FBgn0027691,CG6378,,0.481,Bilateria
FBgn0026563,CG1979,FBgn0063238,CG1979,,0.831,Pan-drosophilid
FBgn0026565,CG1315,,CG1315,,0.746,Cellular_Organisms
FBgn0026566,CG1307,,CG1307,,0.332,Cellular_Organisms
FBgn0026570,CG5704,FBgn0035310,CG5704,,0.354,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0026573,ADD1,FBgn0033670,CG8290,,0.329,Diptera
FBgn0026575,hang,"FBgn0030750,FBgn0030751,FBgn0052575,FBgn0062484",CG32575,"CG4416,CG4411",0.329,Pan-drosophilid
FBgn0026576,CG5991,FBgn0039143,CG5991,,0.407,Cellular_Organisms
FBgn0026577,CG8677,"FBgn0032936,FBgn0046270",CG8677,,0.323,Bilateria
FBgn0026582,Hmg-2,FBgn0034594,CG9418,,0.407,Bilateria
FBgn0026592,Fie,FBgn0035467,CG1079,,0.653,Diptera
FBgn0026593,CG5707,FBgn0035314,CG5707,,0.586,Bilateria
FBgn0026597,Axn,FBgn0028152,CG7926,,0.363,Bilateria
FBgn0026598,Apc2,,CG6193,,0.587,Bilateria
FBgn0026602,Ady43A,FBgn0033152,CG1851,,0.554,Cellular_Organisms
FBgn0026616,alpha-Man-IIb,,CG4606,,0.544,Diptera
FBgn0026619,Taz,,CG8766,,0.476,Eukaryota
FBgn0026620,tacc,,CG9765,,0.23,Bilateria
FBgn0026630,nes,,CG9655,,0.504,Eukaryota
FBgn0026634,ldlCp,,CG6177,,0.298,Eukaryota
FBgn0026666,l(1)G0136,"FBgn0030677,FBgn0063708",CG8198,,0.509,Cellular_Organisms
FBgn0026679,IntS4,FBgn0030047,CG12113,,0.435,Eukaryota
FBgn0026702,l(1)G0045,"FBgn0027222,FBgn0027523,FBgn0052763",CG32763,CG4129,0.575,Eukaryota
FBgn0026713,l(1)G0007,"FBgn0026709,FBgn0027309,FBgn0028281,FBgn0029047,FBgn0030546,FBgn0030550,FBgn0040139,FBgn0040178,FBgn0040194,FBgn0044447,FBgn0044450,FBgn0052604",CG32604,"CG1405,CG1375",0.41,Cellular_Organisms
FBgn0026718,fu12,,CG17608,,0.562,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0026721,fat-spondin,,CG6953,,0.509,Bilateria
FBgn0026722,drosha,,CG8730,,0.304,Cellular_Organisms
FBgn0026737,CG6171,,CG6171,,0.374,Pan-drosophilid
FBgn0026738,CG7857,,CG7857,,0.488,Eukaryota
FBgn0026741,mRpL18,,CG12373,,0.318,Bilateria
FBgn0026749,Yippee,,CG1989,,0.242,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0026751,XRCC1,,CG4208,,0.314,Eukaryota
FBgn0026754,Ugt37c1,FBgn0025831,CG8652,,0.9,mel-subgroup
FBgn0026755,Ugt37b1,FBgn0031790,CG9481,,0.815,Bilateria
FBgn0026756,Ugt37a1,FBgn0032855,CG11012,,0.923,mel-subgroup
FBgn0026760,Tehao,,CG7121,,0.789,Pan-drosophilid
FBgn0026761,Trap1,,CG3152,,0.472,Cellular_Organisms
FBgn0026777,Rad23,,CG1836,,0.222,Eukaryota
FBgn0026778,Rad1,,CG3240,,0.24,Eukaryota
FBgn0026787,Nhe1,,CG12178,,0.484,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0026869,Thd1,,CG1981,,0.268,Cellular_Organisms
FBgn0026872,CG14777,FBgn0064788,CG14777,,0.62,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0026873,MED18,,CG14802,,0.509,Eukaryota
FBgn0026874,CG13358,,CG13358,,0.881,Pan-drosophilid
FBgn0026876,CG11403,,CG11403,,0.542,Eukaryota
FBgn0026878,CG4325,,CG4325,,0.686,Pan-drosophilid
FBgn0026879,CG13364,"FBgn0027685,FBgn0042219",CG13364,CG18451,0.214,Diptera
FBgn0027052,STUB1,,CG5203,,0.26,Eukaryota
FBgn0027053,CSN5,"FBgn0016027,FBgn0024551",CG14884,,0.336,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0027054,CSN4,FBgn0022061,CG8725,,0.402,Eukaryota
FBgn0027055,CSN3,,CG18332,,0.268,Eukaryota
FBgn0027057,CSN1b,,CG3889,,0.323,Eukaryota
FBgn0027066,Eb1,FBgn0010578,CG3265,,0.261,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0027070,CG17322,FBgn0032714,CG17322,,0.52,Bilateria
FBgn0027073,CG4302,FBgn0034604,CG4302,,0.651,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0027074,CG17324,FBgn0032712,CG17324,,0.821,Bilateria
FBgn0027079,Aats-val,"FBgn0010542,FBgn0010671,FBgn0033805,FBgn0043789",CG4062,,0.403,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0027080,Aats-tyr,"FBgn0025537,FBgn0036630",CG4561,,0.258,Cellular_Organisms
FBgn0027081,Aats-thr,"FBgn0022209,FBgn0032411",CG5353,,0.324,Cellular_Organisms
FBgn0027082,Aats-pro,FBgn0035361,CG12186,,0.341,Cellular_Organisms
FBgn0027083,Aats-met-m,"FBgn0038215,FBgn0038216,FBgn0051322",CG31322,"CG9612,CG8684",0.628,Cellular_Organisms
FBgn0027084,Aats-lys,FBgn0030143,CG12141,,0.283,Cellular_Organisms
FBgn0027085,Aats-leu,FBgn0035576,CG7479,,0.302,Cellular_Organisms
FBgn0027086,Aats-ile,"FBgn0010728,FBgn0037159",CG11471,,0.217,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0027087,Aats-his,"FBgn0027288,FBgn0028314,FBgn0030934",CG6335,,0.372,Cellular_Organisms
FBgn0027088,Aats-gly,FBgn0036477,CG6778,,0.227,Cellular_Organisms
FBgn0027090,Aats-gln,"FBgn0010867,FBgn0027545",CG10506,,0.25,Cellular_Organisms
FBgn0027091,Aats-cys,FBgn0027536,CG8431,,0.395,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0027093,Aats-arg,FBgn0030698,CG9020,,0.251,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0027094,Aats-ala,,CG13391,,0.274,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0027095,Manf,FBgn0026289,CG7013,,0.337,Bilateria
FBgn0027101,Dyrk3,"FBgn0062988,FBgn0069975",CG40478,,0.297,Eukaryota
FBgn0027106,Inx7,,CG2977,CG32731,0.742,Bilateria
FBgn0027107,Inx6,,CG17063,,0.958,Bilateria
FBgn0027108,Inx2,"FBgn0026672,FBgn0026693,FBgn0026703,FBgn0026707,FBgn0027220,FBgn0027325,FBgn0028356,FBgn0029062",CG4590,,0.477,Bilateria
FBgn0027109,NPF,,CG10342,,0.751,Pan-drosophilid
FBgn0027111,miple1,FBgn0027731,CG1221,,0.612,Pan-drosophilid
FBgn0027259,Kmn1,"FBgn0030312,FBgn0066829",CG1558,,0.407,Pan-drosophilid
FBgn0027279,l(1)G0196,"FBgn0031192,FBgn0052502",CG14616,CG32502,0.362,Eukaryota
FBgn0027280,l(1)G0193,"FBgn0029064,FBgn0029984",CG2206,,0.294,Diptera
FBgn0027287,Gmap,"FBgn0030649,FBgn0030650,FBgn0052587",CG33206,"CG7821,CG6350,CG32587",0.482,Bilateria
FBgn0027291,l(1)G0156,FBgn0031024,CG12233,,0.392,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0027296,temp,FBgn0029609,CG3073,,0.347,Eukaryota
FBgn0027329,Tcp-1zeta,"FBgn0026695,FBgn0027326,FBgn0030681",CG8231,,0.305,Eukaryota
FBgn0027330,l(1)G0020,FBgn0030062,CG1994,,0.378,Cellular_Organisms
FBgn0027334,l(1)G0004,FBgn0031105,CG11738,,0.564,Cellular_Organisms
FBgn0027335,Rip11,"FBgn0027272,FBgn0027314,FBgn0027318,FBgn0028271,FBgn0030942,FBgn0040180",CG6606,,0.382,Bilateria
FBgn0027338,Kap-alpha3,"FBgn0024888,FBgn0026235,FBgn0028164",CG9423,,0.173,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0027339,jim,"FBgn0016051,FBgn0024201,FBgn0037192,FBgn0064775",CG11352,,0.502,Diptera
FBgn0027341,Gfat1,FBgn0058197,CG12449,CG40197,0.628,Cellular_Organisms
FBgn0027342,fz4,"FBgn0029938,FBgn0046616,FBgn0046624",CG4626,,0.414,Diptera
FBgn0027343,fz3,FBgn0025619,CG16785,,0.701,Diptera
FBgn0027348,bgm,"FBgn0027881,FBgn0028908",CG4501,,0.609,Diptera
FBgn0027356,Amph,,CG8604,,0.427,Eukaryota
FBgn0027358,Tim9b,FBgn0053066,CG17767,CG33066,0.541,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0027359,Tim8,FBgn0062891,CG1728,,0.371,Eukaryota
FBgn0027360,Tim10,,CG9878,,0.995,Eukaryota
FBgn0027363,Stam,,CG6521,,0.351,Eukaryota
FBgn0027364,Six4,,CG3871,,0.842,Bilateria
FBgn0027375,RecQ5,"FBgn0024312,FBgn0027689",CG4879,,0.327,Cellular_Organisms
FBgn0027376,rha,FBgn0044579,CG11908,,0.808,Pan-drosophilid
FBgn0027378,MRG15,FBgn0024526,CG6363,,0.368,Eukaryota
FBgn0027453,Dnz1,,CG6627,,0.45,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0027490,D12,,CG13400,,0.482,Bilateria
FBgn0027491,Cdk5alpha,FBgn0026195,CG5387,,0.704,Bilateria
FBgn0027492,wdb,"FBgn0026590,FBgn0043349",CG5643,,0.259,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0027493,AdSS,,CG17273,,0.286,Cellular_Organisms
FBgn0027494,RpS10a,FBgn0039534,CG12275,,0.812,mel-subgroup
FBgn0027495,Smyd4-4,,CG8378,,0.484,Diptera
FBgn0027496,epsilonCOP,,CG9543,,0.376,Eukaryota
FBgn0027497,Madm,FBgn0062034,CG1098,,0.371,Bilateria
FBgn0027498,CG2061,,CG2061,,0.544,Bilateria
FBgn0027499,wde,,CG12340,,0.296,Bilateria
FBgn0027500,spd-2,FBgn0014928,CG17286,,0.535,Diptera
FBgn0027503,CG11970,,CG11970,,0.423,Bilateria
FBgn0027504,CG8878,,CG8878,,0.282,Pan-drosophilid
FBgn0027505,Rab3-GAP,,CG7061,,0.617,Eukaryota
FBgn0027506,EDTP,FBgn0062229,CG6542,,0.342,Eukaryota
FBgn0027507,CG1344,,CG1344,,0.197,Bilateria
FBgn0027508,Tnks,FBgn0039351,CG4719,CG17487,0.323,Cellular_Organisms
FBgn0027509,TBCD,,CG7261,,0.332,Eukaryota
FBgn0027512,CG10254,,CG10254,,0.535,Eukaryota
FBgn0027513,ana2,,CG8262,,0.597,Pan-drosophilid
FBgn0027514,CG1024,,CG1024,,0.618,Pan-drosophilid
FBgn0027515,CG7115,,CG7115,,0.375,Eukaryota
FBgn0027518,CG7609,,CG7609,,0.433,Eukaryota
FBgn0027521,CG3679,,CG3679,,0.655,Pan-drosophilid
FBgn0027524,CG3909,,CG3909,CG3039,0.44,Cellular_Organisms
FBgn0027525,CG7686,,CG7686,,0.264,Bilateria
FBgn0027526,Ublcp1,,CG6697,,0.359,Eukaryota
FBgn0027527,Osi6,,CG1151,,0.881,Diptera
FBgn0027528,goe,,CG9634,,0.508,Bilateria
FBgn0027529,tapas,,CG8920,,0.347,Bilateria
FBgn0027532,CG7139,FBgn0062025,CG7139,,0.282,Cellular_Organisms
FBgn0027535,botv,,CG15110,,0.232,Bilateria
FBgn0027537,Nup93-1,,CG11092,,0.328,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0027538,beta4GalNAcTA,FBgn0062226,CG8536,,0.407,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0027539,CG5807,FBgn0062072,CG5807,,0.546,Eukaryota
FBgn0027544,CG2217,,CG2217,,0.881,Pan-drosophilid
FBgn0027546,CG4766,,CG4766,,0.831,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0027547,CG1927,"FBgn0027776,FBgn0062082",CG1927,,0.3,Diptera
FBgn0027548,nito,,CG2910,,0.327,Bilateria
FBgn0027549,CG7927,FBgn0046458,CG7927,,0.462,Eukaryota
FBgn0027550,CG6495,,CG6495,,0.621,Pan-drosophilid
FBgn0027552,CG10863,,CG10863,,0.313,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0027553,NELF-B,"FBgn0029956,FBgn0052721",CG32721,CG12152,0.359,Eukaryota
FBgn0027554,CG8042,"FBgn0044624,FBgn0046406",CG8042,,0.586,Eukaryota
FBgn0027556,CG4928,,CG4928,,0.598,Diptera
FBgn0027558,pgant3,FBgn0062232,CG4445,,0.407,Bilateria
FBgn0027560,Tps1,"FBgn0001908,FBgn0022028",CG4104,,0.598,Cellular_Organisms
FBgn0027561,CG18659,"FBgn0042194,FBgn0050347,FBgn0050348,FBgn0062216,FBgn0062219",CG18659,"CG8059,CG30348,CG30347",0.45,Bilateria
FBgn0027562,CG10345,,CG10345,,0.735,Diptera
FBgn0027563,CG9631,,CG9631,,0.781,Diptera
FBgn0027564,CG3149,,CG3149,,0.418,Eukaryota
FBgn0027565,CG5498,,CG5498,,0.255,Eukaryota
FBgn0027567,CG8108,,CG8108,,0.332,Bilateria
FBgn0027568,Cand1,,CG5366,,0.359,Eukaryota
FBgn0027569,cert,,CG7207,,0.415,Bilateria
FBgn0027570,Nep2,,CG9761,,0.613,Diptera
FBgn0027572,CG5009,,CG5009,,0.326,Eukaryota
FBgn0027574,CG5815,,CG5815,,0.315,Diptera
FBgn0027575,GABA-B-R2,"FBgn0046522,FBgn0046523",CG6706,,0.707,Diptera
FBgn0027578,CG14526,FBgn0039614,CG14526,,0.643,Bilateria
FBgn0027579,mino,,CG5508,,0.386,Bilateria
FBgn0027580,PCB,FBgn0033455,CG1516,,0.416,Cellular_Organisms
FBgn0027581,CG6191,,CG6191,,0.671,Eukaryota
FBgn0027582,CG6230,,CG6230,,0.575,Eukaryota
FBgn0027583,CG7601,,CG7601,,0.357,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0027584,CG4757,,CG4757,,0.819,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0027585,CG8740,,CG8740,,0.704,Pan-drosophilid
FBgn0027586,CG5867,,CG5867,,0.71,Diptera
FBgn0027587,CG7028,,CG7028,,0.218,Eukaryota
FBgn0027588,GCS2alpha,,CG14476,,0.243,Cellular_Organisms
FBgn0027589,CG1688,"FBgn0043917,FBgn0043919,FBgn0043920,FBgn0043921,FBgn0043954",CG1688,,0.802,mel-subgroup
FBgn0027590,GstE12,,CG16936,,0.306,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0027592,MED15,,CG4184,,0.426,Bilateria
FBgn0027594,drpr,FBgn0035261,CG2086,CG18172,0.361,Diptera
FBgn0027596,Kank,FBgn0043818,CG10249,,0.613,Bilateria
FBgn0027597,CG17712,,CG17712,,0.368,Cellular_Organisms
